sep=,
NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
776.143276361163,1.45377695616111,776.143276361163,0,,
775.357219489281,1.45379153151413,775.357219489281,0,,
774.571162617402,1.45380613645011,774.571162617402,0,,
773.785105745518,1.45382077105922,773.785105745518,0,,
772.999048873637,1.45383543543197,772.999048873637,0,,
772.212992001759,1.45385012965926,772.212992001759,0,,
771.426935129879,1.45386485383235,771.426935129879,0,,
770.640878257998,1.45387960804287,770.640878257998,0,,
769.854821386114,1.45389439238284,769.854821386114,0,,
769.068764514235,1.45390920694463,769.068764514235,0,,
768.282707642355,1.45392405182102,768.282707642355,0,,
767.496650770475,1.45393892710514,767.496650770475,0,,
766.710593898594,1.45395383289052,766.710593898594,0,,
765.924537026711,1.45396876927106,765.924537026711,0,,
765.138480154829,1.45398373634107,765.138480154829,0,,
764.352423282951,1.45399873419523,764.352423282951,0,,
763.566366411071,1.45401376292861,763.566366411071,0,,
762.780309539188,1.45402882263666,762.780309539188,0,,
761.994252667307,1.45404391341526,761.994252667307,0,,
761.208195795429,1.45405903536066,761.208195795429,0,,
760.422138923547,1.4540741885695,760.422138923547,0,,
759.636082051665,1.45408937313885,759.636082051665,0,,
758.850025179785,1.45410458916615,758.850025179785,0,,
758.063968307903,1.45411983674926,758.063968307903,0,,
757.277911436024,1.45413511598645,757.277911436024,0,,
756.491854564143,1.4541504269764,756.491854564143,0,,
755.70579769226,1.45416576981818,755.70579769226,0,,
754.919740820382,1.4541811446113,754.919740820382,0,,
754.133683948499,1.45419655145566,754.133683948499,0,,
753.347627076616,1.45421199045159,753.347627076616,0,,
752.561570204736,1.45422746169985,752.561570204736,0,,
751.775513332856,1.45424296530159,751.775513332856,0,,
750.989456460976,1.45425850135842,750.989456460976,0,,
750.203399589095,1.45427406997236,750.203399589095,0,,
749.417342717216,1.45428967124584,749.417342717216,0,,
748.631285845332,1.45430530528174,748.631285845332,0,,
747.845228973455,1.45432097218338,747.845228973455,0,,
747.059172101573,1.4543366720545,747.059172101573,0,,
746.273115229693,1.45435240499928,746.273115229693,0,,
745.487058357812,1.45436817112234,745.487058357812,0,,
744.701001485929,1.45438397052874,744.701001485929,0,,
743.91494461405,1.45439980332399,743.91494461405,0,,
743.128887742169,1.45441566961404,743.128887742169,0,,
742.342830870287,1.4544315695053,742.342830870287,0,,
741.556773998408,1.45444750310461,741.556773998408,0,,
740.770717126526,1.45446347051929,740.770717126526,0,,
739.984660254645,1.45447947185709,739.984660254645,0,,
739.198603382765,1.45449550722624,739.198603382765,0,,
738.412546510882,1.45451157673541,738.412546510882,0,,
737.626489639001,1.45452768049375,737.626489639001,0,,
736.840432767123,1.45454381861088,736.840432767123,0,,
736.054375895239,1.45455999119687,736.054375895239,0,,
735.268319023362,1.45457619836227,735.268319023362,0,,
734.48226215148,1.4545924402181,734.48226215148,0,,
733.696205279599,1.45460871687586,733.696205279599,0,,
732.910148407718,1.45462502844753,732.910148407718,0,,
732.124091535836,1.45464137504556,732.124091535836,0,,
731.338034663955,1.4546577567829,731.338034663955,0,,
730.551977792076,1.45467417377298,730.551977792076,0,,
729.765920920192,1.4546906261297,729.765920920192,0,,
728.979864048313,1.45470711396748,728.979864048313,0,,
728.193807176432,1.45472363740122,728.193807176432,0,,
727.407750304554,1.45474019654632,727.407750304554,0,,
726.621693432672,1.45475679151867,726.621693432672,0,,
725.83563656079,1.45477342243467,725.83563656079,0,,
725.04957968891,1.45479008941123,725.04957968891,0,,
724.263522817029,1.45480679256576,724.263522817029,0,,
723.477465945147,1.45482353201618,723.477465945147,0,,
722.691409073268,1.45484030788092,722.691409073268,0,,
721.905352201387,1.45485712027894,721.905352201387,0,,
721.119295329504,1.45487396932971,721.119295329504,0,,
720.333238457624,1.45489085515321,720.333238457624,0,,
719.547181585743,1.45490777786996,719.547181585743,0,,
718.761124713863,1.45492473760101,718.761124713863,0,,
717.975067841983,1.45494173446792,717.975067841983,0,,
717.189010970101,1.45495876859281,717.189010970101,0,,
716.402954098221,1.45497584009831,716.402954098221,0,,
715.616897226341,1.4549929491076,715.616897226341,0,,
714.830840354459,1.45501009574441,714.830840354459,0,,
714.044783482578,1.455027280133,714.044783482578,0,,
713.258726610697,1.45504450239819,713.258726610697,0,,
712.472669738815,1.45506176266534,712.472669738815,0,,
711.686612866935,1.45507906106037,711.686612866935,0,,
710.900555995056,1.45509639770976,710.900555995056,0,,
710.114499123173,1.45511377274055,710.114499123173,0,,
