sep=,
S2Chart
X of SiO2_calib 75  1 Measured 75 [Wavelength (nm)],SiO2_calib 75  1 Measured 75 - Delta,X of SiO2_calib 70  2 Measured 70 [Wavelength (nm)],SiO2_calib 70  2 Measured 70 - Delta,X of SiO2_calib 65  3 Measured 65 [Wavelength (nm)],SiO2_calib 65  3 Measured 65 - Delta,X of SiO2_calib 60  4 Measured 60 [Wavelength (nm)],SiO2_calib 60  4 Measured 60 - Delta,X of SiO2_calib 55  5 Measured 55 [Wavelength (nm)],SiO2_calib 55  5 Measured 55 - Delta,X of SiO2_calib 50  6 Measured 50 [Wavelength (nm)],SiO2_calib 50  6 Measured 50 - Delta,X of SiO2_calib 75  1 Generated 75 [Wavelength (nm)],SiO2_calib 75  1 Generated 75 - Delta,X of SiO2_calib 70  2 Generated 70 [Wavelength (nm)],SiO2_calib 70  2 Generated 70 - Delta,X of SiO2_calib 65  3 Generated 65 [Wavelength (nm)],SiO2_calib 65  3 Generated 65 - Delta,X of SiO2_calib 60  4 Generated 60 [Wavelength (nm)],SiO2_calib 60  4 Generated 60 - Delta,X of SiO2_calib 55  5 Generated 55 [Wavelength (nm)],SiO2_calib 55  5 Generated 55 - Delta,X of SiO2_calib 50  6 Generated 50 [Wavelength (nm)],SiO2_calib 50  6 Generated 50 - Delta
919.991683915347,58.2842326116777,919.991683915347,78.3561707727205,919.991683915347,97.184307442732,919.991683915347,113.950102353167,919.991683915347,127.91190228324,919.991683915347,139.643237580074,919.991683915347,58.335026214675,919.991683915347,78.3466722935128,919.991683915347,97.1418948086475,919.991683915347,113.785713067092,919.991683915347,127.904329829608,919.991683915347,139.598010512391
919.205627043466,58.0130426922414,919.205627043466,78.1704685694195,919.205627043466,97.0311014776209,919.205627043466,113.634061029849,919.205627043466,127.785980632292,919.205627043466,139.676798575025,919.205627043466,58.330280746023,919.205627043466,78.3350080866073,919.205627043466,97.1244038642332,919.205627043466,113.765931927579,919.205627043466,127.885826569386,919.205627043466,139.582995199562
918.419570171587,58.106555759816,918.419570171587,78.2755811582945,918.419570171587,96.9769224388392,918.419570171587,113.737747931164,918.419570171587,128.112879998036,918.419570171587,139.559133579315,918.419570171587,58.3255578283587,918.419570171587,78.3233845048483,918.419570171587,97.1069681276779,918.419570171587,113.746213580001,918.419570171587,127.867389934774,918.419570171587,139.568049739657
917.633513299707,58.0412892975,917.633513299707,78.3361730983927,917.633513299707,97.2441286974691,917.633513299707,113.792001742158,917.633513299707,127.649243353278,917.633513299707,139.506254416349,917.633513299707,58.320857648829,917.633513299707,78.311801847618,917.633513299707,97.0895880401951,917.633513299707,113.726558615529,917.633513299707,127.849020645021,917.633513299707,139.553174943037
916.847456427828,58.1415569120819,916.847456427828,78.2787275817656,916.847456427828,97.1874004940163,916.847456427828,113.640148214251,916.847456427828,127.83873275606,916.847456427828,139.406749777965,916.847456427828,58.3161803956161,916.847456427828,78.3002604162723,916.847456427828,97.0722640463108,916.847456427828,113.706967630304,916.847456427828,127.830719426047,916.847456427828,139.538371628135
916.061399555944,58.2193761829632,916.061399555944,78.3844725799145,916.061399555944,97.0692893535259,916.061399555944,113.696279326247,916.061399555944,127.964535276206,916.061399555944,139.609772033391,916.061399555944,58.3115262579411,916.061399555944,78.2887605141548,916.061399555944,97.0549965938921,916.061399555944,113.687441225482,916.061399555944,127.812487010514,916.061399555944,139.523640621547
915.275342684068,58.1938362395906,915.275342684068,78.3370350330676,915.275342684068,97.2624457842129,915.275342684068,113.847849266891,915.275342684068,127.870524028308,915.275342684068,139.704727632143,915.275342684068,58.3068954260687,915.275342684068,78.2773024466112,915.275342684068,97.0377861341777,915.275342684068,113.667980007288,915.275342684068,127.7943241379,915.275342684068,139.508982758117
914.489285812183,58.1967186723317,914.489285812183,78.4899468337057,914.489285812183,97.0505535319502,914.489285812183,113.585766517406,914.489285812183,127.67442186152,914.489285812183,139.311153539009,914.489285812183,58.30228809131,914.489285812183,78.2658865210023,914.489285812183,97.0206331218069,914.489285812183,113.648584587063,914.489285812183,127.776231554568,914.489285812183,139.494398881032
913.703228940306,58.2057788993068,913.703228940306,78.3798166723862,913.703228940306,96.9970163014431,913.703228940306,113.71761736785,913.703228940306,127.975888559403,913.703228940306,139.598015881687,913.703228940306,58.2977044460279,913.703228940306,78.2545130467194,913.703228940306,97.0035380148506,913.703228940306,113.629255581315,913.703228940306,127.758210013839,913.703228940306,139.479889841914
912.917172068421,58.0938454441452,912.917172068421,78.2167235220848,912.917172068421,97.0411788939807,912.917172068421,113.82354556364,912.917172068421,127.712396662355,912.917172068421,139.80877895938,912.917172068421,58.2931446836395,912.917172068421,78.2431823351977,912.917172068421,96.9865012748415,912.917172068421,113.609993611775,912.917172068421,127.74026027607,912.917172068421,139.46545650091
912.131115196539,57.9885713324204,912.131115196539,78.1282712282324,912.131115196539,97.1545969798333,912.131115196539,113.825190109001,912.131115196539,127.908122095416,912.131115196539,139.440039499524,912.131115196539,58.2886089986209,912.131115196539,78.2318946999312,912.131115196539,96.9695233668054,912.131115196539,113.590799305443,912.131115196539,127.722383108724,912.131115196539,139.451099726786
911.34505832466,58.1494123746139,911.34505832466,78.4625795959649,911.34505832466,96.8492832159677,911.34505832466,113.773319582889,911.34505832466,127.637730386376,911.34505832466,139.52009379927,911.34505832466,58.2841664001038,911.34505832466,78.2207242803302,911.34505832466,96.9526734010346,911.34505832466,113.571731623368,911.34505832466,127.704626766802,911.34505832466,139.436858529273
910.559001452782,57.7728197099659,910.559001452782,78.212685040461,910.559001452782,97.4865979275741,910.559001452782,114.058550412576,910.559001452782,127.968466275915,910.559001452782,140.261872241394,910.559001452782,58.2798577900854,910.559001452782,78.2097151671895,910.559001452782,96.9359927138648,910.559001452782,113.552826103447,910.559001452782,127.687020587363,910.559001452782,139.422756829226
909.7729445809,58.2732599649797,909.7729445809,78.219300947195,909.7729445809,96.6236568256205,909.7729445809,113.490979709189,909.7729445809,127.72522588525,909.7729445809,139.278100398656,909.7729445809,58.27557396988,909.7729445809,78.1987503654269,909.7729445809,96.9193727743644,909.7729445809,113.533990838563,909.7729445809,127.66949008823,909.7729445809,139.408735115928
908.986887709018,57.9023710704269,908.986887709018,77.9318246832998,908.986887709018,97.0169409574614,908.986887709018,113.813686093492,908.986887709018,128.054367865457,908.986887709018,139.416611002913,908.986887709018,58.2713151410078,908.986887709018,78.1878302005045,908.986887709018,96.9028140660712,908.986887709018,113.515226482188,908.986887709018,127.652036071365,908.986887709018,139.394794298908
908.200830837137,57.8937778936666,908.200830837137,78.0645507551127,908.200830837137,97.1799248844211,908.200830837137,113.637760100934,908.200830837137,127.485773146727,908.200830837137,139.458470297916,908.200830837137,58.2670815060969,908.200830837137,78.1769550000546,908.200830837137,96.8863170762187,908.200830837137,113.49653369338,908.200830837137,127.63465934627,908.200830837137,139.380935296843
