sep=,
NKChart
X of n [Wavelength (nm)],n - n,X of k [Wavelength (nm)],k - k,X of nodes [Wavelength (nm)],nodes - k
820.94851805837,1.91034407434464,820.94851805837,0,,
820.162461186486,1.9103780075783,820.162461186486,0,,
819.376404314606,1.91041204751085,819.376404314606,0,,
818.590347442727,1.91044619460065,818.590347442727,0,,
817.804290570845,1.91048044930859,817.804290570845,0,,
817.018233698964,1.91051481209808,817.018233698964,0,,
816.232176827085,1.9105492834351,816.232176827085,0,,
815.446119955202,1.9105838637882,815.446119955202,0,,
814.66006308332,1.91061855362853,814.66006308332,0,,
813.874006211443,1.91065335342983,813.874006211443,0,,
813.08794933956,1.91068826366848,813.08794933956,0,,
812.301892467677,1.91072328482352,812.301892467677,0,,
811.5158355958,1.91075841737662,811.5158355958,0,,
810.729778723918,1.91079366181217,810.729778723918,0,,
809.943721852038,1.91082901861722,809.943721852038,0,,
809.157664980156,1.91086448828158,809.157664980156,0,,
808.371608108277,1.91090007129776,808.371608108277,0,,
807.585551236395,1.91093576816105,807.585551236395,0,,
806.799494364515,1.91097157936951,806.799494364515,0,,
806.013437492634,1.91100750542398,806.013437492634,0,,
805.227380620753,1.91104354682814,805.227380620753,0,,
804.441323748873,1.91107970408847,804.441323748873,0,,
803.655266876993,1.91111597771434,803.655266876993,0,,
802.869210005107,1.91115236821796,802.869210005107,0,,
802.083153133226,1.91118887611445,802.083153133226,0,,
801.297096261347,1.91122550192184,801.297096261347,0,,
800.511039389467,1.91126224616108,800.511039389467,0,,
799.724982517588,1.9112991093561,799.724982517588,0,,
798.938925645706,1.91133609203378,798.938925645706,0,,
798.152868773824,1.911373194724,798.152868773824,0,,
797.366811901942,1.91141041795966,797.366811901942,0,,
796.580755030062,1.9114477622767,796.580755030062,0,,
795.794698158181,1.9114852282141,795.794698158181,0,,
795.008641286302,1.91152281631395,795.008641286302,0,,
794.222584414419,1.91156052712141,794.222584414419,0,,
793.436527542541,1.91159836118479,793.436527542541,0,,
792.650470670659,1.91163631905552,792.650470670659,0,,
791.864413798776,1.91167440128821,791.864413798776,0,,
791.078356926897,1.91171260844068,791.078356926897,0,,
790.292300055019,1.91175094107392,790.292300055019,0,,
789.506243183135,1.91178939975218,789.506243183135,0,,
788.720186311255,1.91182798504298,788.720186311255,0,,
787.934129439375,1.9118666975171,787.934129439375,0,,
787.148072567491,1.91190553774864,787.148072567491,0,,
786.362015695614,1.91194450631501,786.362015695614,0,,
785.575958823734,1.91198360379699,785.575958823734,0,,
784.78990195185,1.91202283077873,784.78990195185,0,,
784.003845079969,1.91206218784779,784.003845079969,0,,
783.217788208091,1.91210167559513,783.217788208091,0,,
782.431731336207,1.91214129461519,782.431731336207,0,,
781.64567446433,1.91218104550587,781.64567446433,0,,
780.859617592444,1.91222092886856,780.859617592444,0,,
780.073560720567,1.9122609453082,780.073560720567,0,,
779.287503848686,1.91230109543326,779.287503848686,0,,
778.501446976804,1.91234137985579,778.501446976804,0,,
777.715390104922,1.91238179919145,777.715390104922,0,,
776.929333233042,1.91242235405951,776.929333233042,0,,
776.143276361163,1.91246304508293,776.143276361163,0,,
775.357219489281,1.91250387288832,775.357219489281,0,,
774.571162617402,1.912544838106,774.571162617402,0,,
773.785105745518,1.91258594137003,773.785105745518,0,,
772.999048873637,1.91262718331826,772.999048873637,0,,
772.212992001759,1.91266856459228,772.212992001759,0,,
771.426935129879,1.91271008583754,771.426935129879,0,,
770.640878257998,1.91275174770331,770.640878257998,0,,
769.854821386114,1.91279355084276,769.854821386114,0,,
769.068764514235,1.91283549591293,769.068764514235,0,,
768.282707642355,1.91287758357483,768.282707642355,0,,
767.496650770475,1.91291981449339,767.496650770475,0,,
766.710593898594,1.91296218933757,766.710593898594,0,,
765.924537026711,1.91300470878032,765.924537026711,0,,
765.138480154829,1.91304737349866,765.138480154829,0,,
764.352423282951,1.91309018417367,764.352423282951,0,,
763.566366411071,1.91313314149057,763.566366411071,0,,
762.780309539188,1.91317624613869,762.780309539188,0,,
761.994252667307,1.91321949881154,761.994252667307,0,,
761.208195795429,1.91326290020686,761.208195795429,0,,
760.422138923547,1.91330645102658,760.422138923547,0,,
759.636082051665,1.91335015197694,759.636082051665,0,,
758.850025179785,1.91339400376844,758.850025179785,0,,
758.063968307903,1.91343800711595,758.063968307903,0,,
757.277911436024,1.91348216273866,757.277911436024,0,,
756.491854564143,1.9135264713602,756.491854564143,0,,
755.70579769226,1.91357093370861,755.70579769226,0,,
754.919740820382,1.91361555051638,754.919740820382,0,,
754.133683948499,1.91366032252052,754.133683948499,0,,
753.347627076616,1.91370525046256,753.347627076616,0,,
752.561570204736,1.9137503350886,752.561570204736,0,,
751.775513332856,1.91379557714934,751.775513332856,0,,
750.989456460976,1.91384097740012,750.989456460976,0,,
750.203399589095,1.91388653660095,750.203399589095,0,,
749.417342717216,1.91393225551653,749.417342717216,0,,
748.631285845332,1.91397813491633,748.631285845332,0,,
747.845228973455,1.91402417557459,747.845228973455,0,,
747.059172101573,1.91407037827035,747.059172101573,0,,
746.273115229693,1.91411674378754,746.273115229693,0,,
745.487058357812,1.91416327291495,745.487058357812,0,,
744.701001485929,1.9142099664463,744.701001485929,0,,
743.91494461405,1.9142568251803,743.91494461405,0,,
743.128887742169,1.91430384992065,743.128887742169,0,,
742.342830870287,1.9143510414761,742.342830870287,0,,
741.556773998408,1.91439840066047,741.556773998408,0,,
740.770717126526,1.91444592829272,740.770717126526,0,,
739.984660254645,1.91449362519697,739.984660254645,0,,
739.198603382765,1.91454149220254,739.198603382765,0,,
738.412546510882,1.91458953014401,738.412546510882,0,,
737.626489639001,1.91463773986121,737.626489639001,0,,
736.840432767123,1.91468612219934,736.840432767123,0,,
736.054375895239,1.91473467800894,736.054375895239,0,,
735.268319023362,1.91478340814598,735.268319023362,0,,
734.48226215148,1.91483231347187,734.48226215148,0,,
733.696205279599,1.91488139485352,733.696205279599,0,,
732.910148407718,1.9149306531634,732.910148407718,0,,
732.124091535836,1.91498008927953,732.124091535836,0,,
731.338034663955,1.9150297040856,731.338034663955,0,,
730.551977792076,1.91507949847094,730.551977792076,0,,
729.765920920192,1.91512947333062,729.765920920192,0,,
728.979864048313,1.91517962956546,728.979864048313,0,,
728.193807176432,1.91522996808211,728.193807176432,0,,
727.407750304554,1.91528048979307,727.407750304554,0,,
726.621693432672,1.91533119561674,726.621693432672,0,,
725.83563656079,1.91538208647747,725.83563656079,0,,
725.04957968891,1.91543316330562,725.04957968891,0,,
724.263522817029,1.91548442703761,724.263522817029,0,,
723.477465945147,1.91553587861592,723.477465945147,0,,
722.691409073268,1.91558751898921,722.691409073268,0,,
721.905352201387,1.91563934911232,721.905352201387,0,,
721.119295329504,1.91569136994636,721.119295329504,0,,
720.333238457624,1.91574358245872,720.333238457624,0,,
719.547181585743,1.91579598762313,719.547181585743,0,,
718.761124713863,1.91584858641973,718.761124713863,0,,
717.975067841983,1.91590137983514,717.975067841983,0,,
717.189010970101,1.91595436886244,717.189010970101,0,,
716.402954098221,1.91600755450131,716.402954098221,0,,
715.616897226341,1.91606093775802,715.616897226341,0,,
714.830840354459,1.91611451964552,714.830840354459,0,,
714.044783482578,1.91616830118347,714.044783482578,0,,
713.258726610697,1.91622228339832,713.258726610697,0,,
712.472669738815,1.91627646732336,712.472669738815,0,,
711.686612866935,1.91633085399876,711.686612866935,0,,
710.900555995056,1.91638544447165,710.900555995056,0,,
710.114499123173,1.91644023979615,710.114499123173,0,,
709.328442251295,1.91649524103346,709.328442251295,0,,
708.542385379415,1.9165504492519,708.542385379415,0,,
707.75632850753,1.91660586552698,707.75632850753,0,,
706.970271635652,1.91666149094143,706.970271635652,0,,
706.184214763771,1.91671732658532,706.184214763771,0,,
705.398157891888,1.91677337355607,705.398157891888,0,,
704.612101020009,1.91682963295851,704.612101020009,0,,
703.826044148129,1.91688610590499,703.826044148129,0,,
703.039987276249,1.9169427935154,703.039987276249,0,,
702.253930404365,1.91699969691725,702.253930404365,0,,
701.467873532484,1.91705681724574,701.467873532484,0,,
700.681816660606,1.91711415564381,700.681816660606,0,,
699.895759788724,1.9171717132622,699.895759788724,0,,
699.109702916845,1.91722949125957,699.109702916845,0,,
698.323646044963,1.9172874908025,698.323646044963,0,,
697.537589173082,1.91734571306559,697.537589173082,0,,
696.751532301199,1.91740415923152,696.751532301199,0,,
695.965475429318,1.91746283049115,695.965475429318,0,,
695.179418557441,1.91752172804354,695.179418557441,0,,
694.393361685559,1.91758085309604,694.393361685559,0,,
693.607304813679,1.9176402068644,693.607304813679,0,,
692.821247941798,1.91769979057279,692.821247941798,0,,
692.035191069915,1.91775960545388,692.035191069915,0,,
691.249134198035,1.91781965274896,691.249134198035,0,,
690.463077326153,1.91787993370795,690.463077326153,0,,
689.677020454275,1.91794044958954,689.677020454275,0,,
688.890963582394,1.91800120166119,688.890963582394,0,,
688.104906710513,1.9180621911993,688.104906710513,0,,
687.31884983863,1.91812341948921,687.31884983863,0,,
686.532792966749,1.91818488782532,686.532792966749,0,,
685.746736094869,1.91824659751114,685.746736094869,0,,
684.960679222987,1.91830854985942,684.960679222987,0,,
