sep=,
S2Chart
X of Ga2O3_silicon_calib 75  1 Measured 75 [Wavelength (nm)],Ga2O3_silicon_calib 75  1 Measured 75 - Delta,X of Ga2O3_silicon_calib 70  2 Measured 70 [Wavelength (nm)],Ga2O3_silicon_calib 70  2 Measured 70 - Delta,X of Ga2O3_silicon_calib 65  3 Measured 65 [Wavelength (nm)],Ga2O3_silicon_calib 65  3 Measured 65 - Delta,X of Ga2O3_silicon_calib 60  4 Measured 60 [Wavelength (nm)],Ga2O3_silicon_calib 60  4 Measured 60 - Delta,X of Ga2O3_silicon_calib 55  5 Measured 55 [Wavelength (nm)],Ga2O3_silicon_calib 55  5 Measured 55 - Delta,X of Ga2O3_silicon_calib 50  6 Measured 50 [Wavelength (nm)],Ga2O3_silicon_calib 50  6 Measured 50 - Delta,X of Ga2O3_silicon_calib 75  1 Generated 75 [Wavelength (nm)],Ga2O3_silicon_calib 75  1 Generated 75 - Delta,X of Ga2O3_silicon_calib 70  2 Generated 70 [Wavelength (nm)],Ga2O3_silicon_calib 70  2 Generated 70 - Delta,X of Ga2O3_silicon_calib 65  3 Generated 65 [Wavelength (nm)],Ga2O3_silicon_calib 65  3 Generated 65 - Delta,X of Ga2O3_silicon_calib 60  4 Generated 60 [Wavelength (nm)],Ga2O3_silicon_calib 60  4 Generated 60 - Delta,X of Ga2O3_silicon_calib 55  5 Generated 55 [Wavelength (nm)],Ga2O3_silicon_calib 55  5 Generated 55 - Delta,X of Ga2O3_silicon_calib 50  6 Generated 50 [Wavelength (nm)],Ga2O3_silicon_calib 50  6 Generated 50 - Delta
923.92196827475,-37.240728314763,923.92196827475,-53.1954901887956,923.92196827475,-72.8536310932064,923.92196827475,265.872986918362,923.92196827475,245.250770670992,923.92196827475,226.611665101122,923.92196827475,-36.0152747258249,923.92196827475,-52.0920338071125,923.92196827475,-71.2700923544594,923.92196827475,267.12857932222,923.92196827475,245.796591050079,923.92196827475,227.690207435209
923.13591140287,-37.5698617440954,923.13591140287,-53.4988819067408,923.13591140287,-72.9166664415341,923.13591140287,264.588908267547,923.13591140287,244.604516123132,923.13591140287,225.935007779174,923.13591140287,-36.0998760499032,923.13591140287,-52.2136900792215,923.13591140287,-71.430979744052,923.13591140287,266.943119494231,923.13591140287,245.619691941767,923.13591140287,227.547086302888
922.349854530989,-37.6210158199323,922.349854530989,-54.0221849600274,922.349854530989,-73.2236397732077,922.349854530989,265.129649439154,922.349854530989,243.260991669712,922.349854530989,226.040605471,922.349854530989,-36.1843724701812,922.349854530989,-52.3353144443494,922.349854530989,-71.5919008476599,922.349854530989,266.757723630323,922.349854530989,245.443058768299,922.349854530989,227.404301238672
921.563797659112,-37.4608006210931,921.563797659112,-54.3384367722764,921.563797659112,-72.7761198310677,921.563797659112,265.06910389424,921.563797659112,244.275415451614,921.563797659112,226.757947781461,921.563797659112,-36.268765885483,921.563797659112,-52.4569100516579,921.563797659112,-71.7528592380408,921.563797659112,266.572389225362,921.563797659112,245.266689261033,921.563797659112,227.261849420782
920.777740787233,-37.6517461487442,920.777740787233,-54.0901950392025,920.777740787233,-73.3442254130751,920.777740787233,264.976323103692,920.777740787233,244.321478990407,920.777740787233,226.206312766177,920.777740787233,-36.353058202672,920.777740787233,-52.5784800610548,920.777740787233,-71.9138584911526,920.777740787233,266.387113782052,920.777740787233,245.090581156957,920.777740787233,227.119728038503
919.991683915347,-37.7478266242285,919.991683915347,-54.1815600321693,919.991683915347,-73.7028672210781,919.991683915347,264.347651705488,919.991683915347,244.055778226119,919.991683915347,225.697771035309,919.991683915347,-36.4372513365175,919.991683915347,-52.7000276431596,919.991683915347,-72.0749021861325,919.991683915347,266.201894810919,919.991683915347,244.914732198652,919.991683915347,226.97793429214
919.205627043466,-37.8818661145574,919.205627043466,-54.345201952488,919.205627043466,-73.7779196426382,919.205627043466,264.670091452672,919.205627043466,243.625920966695,919.205627043466,226.21139346106,919.205627043466,-36.5213472095633,919.205627043466,-52.8215559792715,919.205627043466,-72.2359939052767,919.205627043466,266.016729830294,919.205627043466,244.739140134249,919.205627043466,226.836465392959
918.419570171587,-38.264197187421,918.419570171587,-54.5438192650815,918.419570171587,-74.0652144423543,918.419570171587,264.529723770963,918.419570171587,243.73830391594,918.419570171587,225.587279682731,918.419570171587,-36.605347752001,918.419570171587,-52.9430682613476,918.419570171587,-72.3971372340311,918.419570171587,265.83161636629,918.419570171587,244.563802717386,918.419570171587,226.695318563128
917.633513299707,-38.1892789533985,917.633513299707,-54.751674953235,917.633513299707,-74.3322635189253,917.633513299707,264.351606059018,917.633513299707,242.878978185086,917.633513299707,226.029290736689,917.633513299707,-36.6892549015406,917.633513299707,-53.0645676919769,917.633513299707,-72.5583357609748,917.633513299707,265.646551952785,917.633513299707,244.388717707164,917.633513299707,226.554491035663
916.847456427828,-38.3135666240207,916.847456427828,-54.9094891839179,916.847456427828,-74.2411811566404,916.847456427828,264.02981383439,916.847456427828,243.024183262757,916.847456427828,225.447864936337,916.847456427828,-36.7730706032839,916.847456427828,-53.1860574843595,916.847456427828,-72.7195930778076,916.847456427828,265.461534131399,916.847456427828,244.213882868109,916.847456427828,226.413980054372
916.061399555944,-38.4327246667422,916.061399555944,-54.8947497570383,916.061399555944,-74.4196795972428,916.061399555944,263.855378201273,916.061399555944,243.141757031231,916.061399555944,225.558049583448,916.061399555944,-36.8567968095998,916.061399555944,-53.3075408622901,916.061399555944,-72.8809127793422,916.061399555944,265.276560451474,916.061399555944,244.039295970131,916.061399555944,226.273782873804
915.275342684068,-38.4273336850241,915.275342684068,-54.9354918746914,915.275342684068,-74.5273890641727,915.275342684068,263.739138119731,915.275342684068,243.259519066683,915.275342684068,225.301525665661,915.275342684068,-36.9404354799979,915.275342684068,-53.4290210601408,915.275342684068,-73.0422984634908,915.275342684068,265.091628470055,915.275342684068,243.864954788482,915.275342684068,226.133896759187
914.489285812183,-38.509108892318,914.489285812183,-55.1620169976446,914.489285812183,-74.6023429190977,914.489285812183,264.011051922305,914.489285812183,242.760774321686,914.489285812183,225.632851981598,914.489285812183,-37.0239885810108,914.489285812183,-53.5505013228562,914.489285812183,-73.2037537312683,914.489285812183,264.906735751858,914.489285812183,243.690857103712,914.489285812183,225.994318986377
913.703228940306,-38.6999380658625,913.703228940306,-55.0461094624736,913.703228940306,-74.4036078362947,913.703228940306,263.725652599309,913.703228940306,243.095302889268,913.703228940306,225.347240799915,913.703228940306,-37.1074580860664,913.703228940306,-53.6719849059362,913.703228940306,-73.3652821867753,913.703228940306,264.72187986926,913.703228940306,243.517000701637,913.703228940306,225.855046841804
912.917172068421,-38.4995585318734,912.917172068421,-55.2311285003145,912.917172068421,-74.9715728375386,912.917172068421,263.878237894732,912.917172068421,242.570554865688,912.917172068421,225.181075543311,912.917172068421,-37.1908459753749,912.917172068421,-53.7934750754413,912.917172068421,-73.5268874372083,912.917172068421,264.53705840226,912.917172068421,243.343383373288,912.917172068421,225.716077622413
912.131115196539,-38.505713813653,912.131115196539,-55.3280339160877,912.131115196539,-74.9109169138042,912.131115196539,263.193713361507,912.131115196539,243.043035794536,912.131115196539,225.12333348105,912.131115196539,-37.2741542358039,912.131115196539,-53.9149751079811,912.131115196539,-73.688573092846,912.131115196539,264.352268938466,912.131115196539,243.170002914881,912.131115196539,225.577408635614
911.34505832466,-38.7569693956954,911.34505832466,-55.3620849702843,911.34505832466,-74.7892866012355,911.34505832466,263.007500438951,911.34505832466,242.415004871286,911.34505832466,225.468294726217,911.34505832466,-37.357473395605,911.34505832466,-54.0365926297382,911.34505832466,-73.8504405663228,911.34505832466,264.167444565396,911.34505832466,242.996834058022,911.34505832466,225.439041165183
910.559001452782,-38.3122160272954,910.559001452782,-55.6355010387697,910.559001452782,-75.304849677585,910.559001452782,263.308826225671,910.559001452782,242.127640209364,910.559001452782,224.241939534267,910.559001452782,-37.4408579460872,910.559001452782,-54.1583925107234,910.559001452782,-74.0125505597094,910.559001452782,263.982546051097,910.559001452782,242.82386210048,910.559001452782,225.300975438456
909.7729445809,-38.8962644636192,909.7729445809,-55.6642887598878,909.7729445809,-75.2672677749729,909.7729445809,262.697769342376,909.7729445809,241.650768832207,909.7729445809,224.149932965648,909.7729445809,-37.5241691990909,909.7729445809,-54.2802121211084,909.7729445809,-74.1747508747864,909.7729445809,263.797674141136,909.7729445809,242.651122022769,909.7729445809,225.163202724642
908.986887709018,-39.1610350980215,908.986887709018,-55.4013144580434,908.986887709018,-75.6759575986195,908.986887709018,261.647946366434,908.986887709018,241.54411454704,908.986887709018,224.239786664304,908.986887709018,-37.6074091714165,908.986887709018,-54.4020547842095,908.986887709018,-74.337045135314,908.986887709018,263.612826448115,908.986887709018,242.478611627811,908.986887709018,225.025720360849
908.200830837137,-38.9068676410703,908.200830837137,-55.8224282189325,908.200830837137,-75.9575002089143,908.200830837137,262.399923278334,908.200830837137,241.020843288663,908.200830837137,223.865151130687,908.200830837137,-37.6905798861705,908.200830837137,-54.5239238341274,908.200830837137,-74.4994369682573,908.200830837137,263.428000592015,908.200830837137,242.306328723519,908.200830837137,224.888525694448
907.414773965257,-39.0536894547962,907.414773965257,-56.0841928512435,907.414773965257,-76.3443231078755,907.414773965257,261.827253451043,907.414773965257,241.380639391254,907.414773965257,224.351677127348,907.414773965257,-37.773683372655,907.414773965257,-54.6458226157636,907.414773965257,-74.6619300037933,907.414773965257,263.243194200181,907.414773965257,242.134271122756,907.414773965257,224.751616083017
906.628717093373,-39.5009119699848,906.628717093373,-56.1561401493121,906.628717093373,-76.1181504284588,906.628717093373,261.448952109421,906.628717093373,241.021758526871,906.628717093373,224.545521473373,906.628717093373,-37.8567216662593,906.628717093373,-54.7677544848399,906.628717093373,-74.8245278753185,906.628717093373,263.058404907285,906.628717093373,241.962436643297,906.628717093373,224.614988894288
905.842660221493,-39.491629032584,905.842660221493,-56.5449809988133,905.842660221493,-76.8947646630998,905.842660221493,261.546941397931,905.842660221493,240.494159416332,905.842660221493,223.436624728532,905.842660221493,-37.9396968083501,905.842660221493,-54.8897228079183,905.842660221493,-74.9872342194554,905.842660221493,262.873630355307,905.842660221493,241.790823107798,905.842660221493,224.478641506098
905.056603349615,-39.5376917410763,905.056603349615,-56.7179709671101,905.056603349615,-76.5792486781761,905.056603349615,261.579425930139,905.056603349615,240.683108791688,905.056603349615,223.590245262027,905.056603349615,-38.022610846168,905.056603349615,-55.0117309624302,905.056603349615,-75.1500526760687,905.056603349615,262.688868193498,905.056603349615,241.619428343752,905.056603349615,224.342571306328
904.270546477733,-39.7529376002697,904.270546477733,-56.5405853350452,904.270546477733,-76.6605587374581,904.270546477733,261.259124546733,904.270546477733,241.068722593254,904.270546477733,223.736197977956,904.270546477733,-38.1054658327215,904.270546477733,-55.133782336704,904.270546477733,-75.3129868882751,904.270546477733,262.504116078353,904.270546477733,241.448250183455,904.270546477733,224.206775692852
903.484489605854,-39.7322843545199,903.484489605854,-56.8314581104644,903.484489605854,-77.0254734591952,903.484489605854,261.291994024864,903.484489605854,240.657891001639,903.484489605854,223.563326498622,903.484489605854,-38.1882638266826,903.484489605854,-55.2558803299958,903.484489605854,-75.4760405024557,903.484489605854,262.319371673588,903.484489605854,241.277286463972,903.484489605854,224.071252073485
902.698432733971,-39.7568253661249,902.698432733971,-56.7757838699385,902.698432733971,-77.0118868111581,902.698432733971,260.97967024858,902.698432733971,240.504306614058,902.698432733971,223.599581601011,902.698432733971,-38.2710068922868,902.698432733971,-55.3780283525277,902.698432733971,-75.6392171682754,902.698432733971,262.134632650099,902.698432733971,241.106535027094,902.698432733971,223.935997865929
901.912375862091,-39.9140057671117,901.912375862091,-56.9104140672379,901.912375862091,-76.904603030775,901.912375862091,260.908013913303,901.912375862091,240.233354921374,901.912375862091,223.31923680113,901.912375862091,-38.3536970992296,901.912375862091,-55.5002298255234,901.912375862091,-75.802520538695,901.912375862091,261.949896685941,901.912375862091,240.935993719312,901.912375862091,223.801010497718
901.126318990209,-39.8686686091597,901.126318990209,-56.8299689190917,901.126318990209,-77.1317276126911,901.126318990209,260.619003063422,901.126318990209,240.438483918779,901.126318990209,223.284201088416,901.126318990209,-38.4363365225704,901.126318990209,-55.6224881812539,901.126318990209,-75.9659542699951,901.126318990209,261.765161466289,901.126318990209,240.765660391771,901.126318990209,223.666287406168
900.340262118332,-39.718515609883,900.340262118332,-57.1504216971439,900.340262118332,-77.1645684886415,900.340262118332,260.956792635233,900.340262118332,240.207320669712,900.340262118332,223.15489097888,900.340262118332,-38.5189272426318,900.340262118332,-55.7448068630792,900.340262118332,-76.1295220217901,900.340262118332,261.580424683413,900.340262118332,240.595532900241,900.340262118332,223.53182603832
